Gene,Env
BOLA2,SNP
BOLA3,SNP
BPGM,SNP
BRAF,SNP
BRCA1,SNP
BRCA2,SNP
BRIP1,SNP
BTBD9,SNP
BTD,SNP
BTK,SNP
C12orf51,SNP
C13orf31,SNP
C14orf93,SNP
C19ORF12,SNP
C1QTNF7,SNP
C21orf91,SNP
C3,SNP
C4B,SNP
C5,SNP
C6orf10,SNP
C8orf80,SNP
C9orf102,SNP
C9orf72,SNP
CABP2,SNP
CACNA1A,SNP
CACNA1B,SNP
CACNA1C,SNP
CACNA1C-AS1,SNP
CACNA1D,SNP
CACNA1G,SNP
CACNA1H,SNP
CACNA1I,SNP
CACNA1S,SNP
CACNA2D4,SNP
CACNB2,SNP
CADM2,SNP
CALB1,SNP
CALHM1,SNP
CALR3,SNP
CALU,SNP
CAMK1,SNP
CAMK1D,SNP
CAMK2A,SNP
CARD11,SNP
CARD14,SNP
CARD8,SNP
CARD9,SNP
CASKP1,SNP
CASP3,SNP
CASP8,SNP
CASP9,SNP
CASQ2,SNP
CASR,SNP
CATSPER3,SNP
CAV3,SNP
CBLB,SNP
CBS,SNP
CBX5,SNP
CCDC122,SNP
CCDC174,SNP
CCDC3,SNP
CCDC39,SNP
CCDC50,SNP
CCDC8,SNP
CCDC88B,SNP
CCKAR,SNP
CCL11,SNP
CCL2,SNP
CCL21,SNP
CCL26,SNP
CCL27,SNP
CCL3L1,SNP
CCM2,SNP
CCR2,SNP
CCR3,SNP
CCR5,SNP
CCR6,SNP
CD14,SNP
CD244,SNP
CD24P4,SNP
CD274,SNP
CD28,SNP
CD2AP,SNP
CD320,SNP
CD33,SNP
CD3D,SNP
CD40,SNP
CD44,SNP
CD58,SNP
CD59,SNP
CD68,SNP
CD69,SNP
CDH1,SNP
CDH13,SNP
CDH2,SNP
CDH23,SNP
CDH4,SNP
CDKAL1,SNP
CDKL5,SNP
CDKN1A,SNP
CDKN1B,SNP
CDKN2A,SNP
CDKN2B,SNP
CDKN2B-AS1,SNP
CEACAM16,SNP
CELSR1,SNP
CENPE,SNP
CEP135,SNP
CEP152,SNP
CEP290,SNP
CES1,SNP
CETP,SNP
CFAP43,SNP
CFAP44,SNP
CFAP65,SNP
CFAP69,SNP
CFH,SNP
CFI,SNP
CFTR,SNP
CHAMP1,SNP
CHCHD10,SNP
CHD7,SNP
CHD8,SNP
CHEK1,SNP
CHEK2,SNP
CHI3L1,SNP
CHIT1,SNP
CHKB,SNP
CHM,SNP
CHMP2B,SNP
CHRM1,SNP
CHRM2,SNP
CHRM3,SNP
CHRM4,SNP
CHRM5,SNP
CHRN,SNP
CHRNA3,SNP
CHRNA4,SNP
CHRNA5,SNP
CHRNA7,SNP
CHRNB3,SNP
CIB2,SNP
CISD2,SNP
CLCN1,SNP
CLDN14,SNP
CLDN16,SNP
CLDN19,SNP
CLEC16A,SNP
CLN3,SNP
CLN5,SNP
CLN6,SNP
CLN8,SNP
CLN9,SNP
CLOCK,SNP
CLPP,SNP
CLPTM1,SNP
CLRN1,SNP
CLTCL1,SNP
CMAS,SNP
CMYA5,SNP
CNGB3,SNP
CNNM1,SNP
CNR1,SNP
CNR2,SNP
CNTN5,SNP
CNTNAP2,SNP
COASY,SNP
COCH,SNP
COG5,SNP
COL11A1,SNP
COL11A2,SNP
COL17A1,SNP
COL1A1,SNP
COL1A2,SNP
COL27A1,SNP
COL2A1,SNP
COL3A1,SNP
COL4A3,SNP
COL4A4,SNP
COL4A5,SNP
COL4A6,SNP
COL5A1,SNP
COL5A2,SNP
COL6A2,SNP
COL6A3,SNP
COL7A1,SNP
COL8A2,SNP
COL9A1,SNP
COL9A2,SNP
COL9A3,SNP
COMT,SNP
COX10,SNP
COX15,SNP
COX4I1,SNP
CPED1,SNP
CPOX,SNP
CPS1,SNP
CPT1A,SNP
CPT1B,SNP
CRB1,SNP
CRB2,SNP
CRB3,SNP
CREB1,SNP
CREBBP,SNP
CREBRF,SNP
CRH,SNP
CRISPLD1,SNP
CRP,SNP
CRYM,SNP
CSAD,SNP
CSF2RB,SNP
CSNK1D,SNP
CST3,SNP
CSTF1,SNP
CTBP2P1,SNP
CTC1,SNP
CTCF,SNP
CTH,SNP
CTLA4,SNP
CTNNA2,SNP
CTNNA3,SNP
CTRC,SNP
CTSD,SNP
CTSZ,SNP
CUBN,SNP
CWC27,SNP
CXCR4,SNP
CYB5R3,SNP
CYLD,SNP
CYP17A1,SNP
CYP19A1,SNP
CYP1A1,SNP
CYP1A2,SNP
CYP1B1,SNP
CYP21A2,SNP
CYP26A1,SNP
CYP27B1,SNP
CYP2A13,SNP
CYP2A6,SNP
CYP2B6,SNP
CYP2C19,SNP
CYP2C8,SNP
CYP2C9,SNP
CYP2D6,SNP
CYP2E1,SNP
CYP2F1,SNP
CYP2J2,SNP
CYP2R1,SNP
CYP2S1,SNP
CYP2W1,SNP
CYP3A,SNP
CYP3A4,SNP
CYP3A43,SNP
CYP3A5,SNP
CYP3A7,SNP
CYP4A11,SNP
CYP4A22,SNP
CYP4B1,SNP
CYP4F2,SNP
CYP4F3,SNP
CYP4V2,SNP
CYP7A1,SNP
DAB2IP,SNP
DAGL,SNP
DAO,SNP
DAOA,SNP
DAPK1,SNP
DAZL,SNP
DBH,SNP
DBR1,SNP
DBT,SNP
DCAF5,SNP
DCC,SNP
DCDC2,SNP
DCHS1,SNP
DCTN1,SNP
DCXR,SNP
DDB2,SNP
DDC,SNP
DDX3Y,SNP
DDX60L,SNP
Dec1,SNP
DEFB4,SNP
DENND5A,SNP
DES,SNP
DFNA5,SNP
DFNB31,SNP
DFNB59,SNP
DGCR2,SNP
DGKE,SNP
DGKH,SNP
DHAPAT,SNP
DHCR7,SNP
DHDDS,SNP
DHFR,SNP
DHODH,SNP
DHRC24,SNP
DHRS3,SNP
DIABLO,SNP
DIAPH1,SNP
DIAPH3,SNP
DICER1,SNP
DIO1,SNP
DIO2,SNP
DIO3,SNP
DISC1,SNP
DKK4,SNP
DLC1,SNP
DLD,SNP
DLEC1,SNP
DLEU7,SNP
DLG2,SNP
DLGAP5P1,SNP
DLK1,SNP
DMD,SNP
DMRT1,SNP
DNAH1,SNP
DNAH2,SNP
DNAH5,SNP
DNAI1,SNP
DNAJB11,SNP
DNAJC13,SNP
DNAJC5,SNP
DNM1,SNP
DNM2,SNP
DNM3,SNP
DNMT1,SNP
DNMT3A,SNP
DNMT3L,SNP
DOCK3,SNP
DOCK7,SNP
DOPEY2,SNP
DPP6,SNP
DPP9,SNP
DPYD,SNP
DRD1,SNP
DRD2,SNP
DRD3,SNP
DRD4,SNP
DRD5,SNP
DSC2,SNP
DSCAM,SNP
DSG2,SNP
DSP,SNP
DSPP,SNP
DTD1,SNP
DTNA,SNP
DTNBP1,SNP
DUSP1,SNP
DUSP5,SNP
DUXA,SNP
DVWA,SNP
DYNC1H1,SNP
DYRK1B,SNP
DYSF,SNP
EDA,SNP
EDA2R,SNP
EDAR,SNP
EDN1,SNP
EDN3,SNP
EDNRB,SNP
EEF1A2,SNP
EEFSEC,SNP
EFHC1,SNP
EFNB1,SNP
EFTUD2,SNP
EGF,SNP
EGFR,SNP
EGLN1,SNP
EGR1,SNP
EIF1AY,SNP
EIF2AK4,SNP
EIF2B5,SNP
EIF3E,SNP
EIF3G,SNP
EIF4G1,SNP
ELAC1,SNP
ELAC2,SNP
ELANE,SNP
ELK3,SNP
ELMOD3,SNP
ELN,SNP
ELOVL4,SNP
ELP4,SNP
EN1,SNP
ENG,SNP
ENOSF1,SNP
ENPP1,SNP
EPAS1,SNP
EPCAM,SNP
EPDR1,SNP
EPHA2,SNP
EPHA6,SNP
EPHB1,SNP
EPOR,SNP
ERAP1,SNP
ERBB4,SNP
ERCC2,SNP
ERCC6,SNP
ERCC8,SNP
ERP44,SNP
ERRFI1,SNP
ESCO2,SNP
ESPN,SNP
ESR1,SNP
ESRRB,SNP
EXO1,SNP
EXOC2,SNP
EYA1,SNP
EYA4,SNP
EZH2,SNP
F11,SNP
F12,SNP
F2,SNP
F2R,SNP
F5,SNP
F8,SNP
F9,SNP
FA2H,SNP
FAAH,SNP
FABP2,SNP
FABP7,SNP
FADS1,SNP
FADS2,SNP
FADS3,SNP
FAH,SNP
FAKE1,SNP
FAM13A,SNP
FAM155E,SNP
FAM177B,SNP
FAM20A,SNP
FAM71F1,SNP
FAM73A,SNP
FAM98B,SNP
FANCC,SNP
FANCM,SNP
FASTKD2,SNP
FAT3,SNP
FBN1,SNP
FBXL3,SNP
FBXW8,SNP
FCER1A,SNP
FCGR2A,SNP
FCGR2B,SNP
FCGR3A,SNP
FECH,SNP
FER,SNP
FERMT1,SNP
FGF1,SNP
FGF10,SNP
FGF12,SNP
FGF14,SNP
FGF21,SNP
FGF23,SNP
FGFR2,SNP
FGFR3,SNP
FGFR3P1,SNP
FGFR4,SNP
FGG,SNP
FKBP5,SNP
FKRP,SNP
FLCN,SNP
FLG,SNP
FLNB,SNP
FLNC,SNP
FMO2,SNP
FMO3,SNP
FMO5,SNP
FMR1,SNP
FN1,SNP
FOLR1,SNP
FOLR2,SNP
FOLR3,SNP
FOS,SNP
FOSL2,SNP
FOXC1,SNP
FOXE1,SNP
FOXI1,SNP
FOXO1,SNP
FOXO3,SNP
FOXP1,SNP
FOXP2,SNP
FOXP3,SNP
FPR1,SNP
FRRS1L,SNP
FSHR,SNP
FSIP1,SNP
FSIP2,SNP
FTL,SNP
FTO,SNP
FUS,SNP
FUT1,SNP
FUT2,SNP
FUT3,SNP
FXN,SNP
FXYD2,SNP
FYCO1,SNP
FZD4,SNP
FZD8,SNP
G6PC,SNP
G6PD,SNP
GAA,SNP
GAB2,SNP
GABRA1,SNP
GABRA2,SNP
GABRA4,SNP
GABRB1,SNP
GABRB3,SNP
GABRD,SNP
GAD1,SNP
GAD2,SNP
GADL1,SNP
GALC,SNP
GALNT3,SNP
GALT,SNP
GAMT,SNP
GANAB,SNP
GAR1,SNP
GARS,SNP
GATA1,SNP
GATA2,SNP
GATA3,SNP
GATA4,SNP
GBA,SNP
GC,SNP
GCDH,SNP
GCH1,SNP
GCHFR,SNP
GCK,SNP
GDAP1,SNP
GDF15,SNP
GDF2,SNP
GDF5,SNP
GDNF,SNP
GEMIN4,SNP
GFAP,SNP
GFOD1,SNP
GFPT2,SNP
GGH,SNP
GGPS1,SNP
GHR,SNP
GHRL,SNP
GIF,SNP
GIPC3,SNP
GIT1,SNP
GJA1,SNP
GJA5,SNP
GJB2,SNP
GJB3,SNP
GJB6,SNP
GJC2,SNP
GLA,SNP
GLB1,SNP
GLCCI1,SNP
GLDC,SNP
GLIS3,SNP
GLRA1,SNP
GLRA2,SNP
GLT8D1,SNP
GLUL,SNP
GMIP,SNP
GMPR,SNP
GNAL,SNP
GNAO1,SNP
GNB1,SNP
GNB3,SNP
GNE,SNP
GNPTAB,SNP
GNPTG,SNP
GOLM1,SNP
GOSR2,SNP
GPC6,SNP
GPHN,SNP
GPR119,SNP
GPR143,SNP
GPR18,SNP
GPR3,SNP
GPR30,SNP
GPR55,SNP
GPR6,SNP
GPR98,SNP
GPS2,SNP
GPSM2,SNP
GPX1,SNP
GPX4,SNP
GRB10,SNP
GRHL2,SNP
GRHPR,SNP
GRID1,SNP
GRIK1,SNP
GRIK3,SNP
GRIK4,SNP
GRIN1,SNP
GRIN2A,SNP
GRIN2B,SNP
GRIN2D,SNP
GRIP2,SNP
GRK3,SNP
GRM3,SNP
GRM7,SNP
GRN,SNP
GRXCR1,SNP
GSK3B,SNP
GSS,SNP
GSTM1,SNP
GSTP1,SNP
GSTT1,SNP
GSTT2,SNP
GTF2I,SNP
GUCY2D,SNP
GUF1,SNP
GYG2P1,SNP
GYPA,SNP
GYPB,SNP
H2AFY,SNP
H3F3A,SNP
HABP2,SNP
HARS2,SNP
HBA1,SNP
HBA2,SNP
HBB,SNP
HBD,SNP
HBG1,SNP
HCG27,SNP
HCN1,SNP
HCN4,SNP
HCP5,SNP
HCRTR2,SNP
HDC,SNP
HEATR3,SNP
HERC2,SNP
HES1,SNP
HEXA,SNP
HFE,SNP
HGF,SNP
HHEX,SNP
HIF1A,SNP
HIPK1,SNP
HIST1H1T,SNP
HIST2H2BE,SNP
HLA-A,SNP
HLA-B,SNP
HLA-C,SNP
HLA-DMA,SNP
HLA-DMB,SNP
HLA-DOA,SNP
HLA-DOB,SNP
HLA-DPA1,SNP
HLA-DPB1,SNP
HLA-DQA1,SNP
HLA-DQB1,SNP
HLA-DRA,SNP
HLA-DRB1,SNP
HLA-DRB3,SNP
HLA-DRB4,SNP
HLA-DRB5,SNP
HLA-DRB9,SNP
HLA-E,SNP
HLA-G,SNP
HLA-J,SNP
HMBS,SNP
HMGA2,SNP
HMGCR,SNP
HMOX1,SNP
HNF1A,SNP
HNF1B,SNP
HNMT,SNP
HNRNPA1,SNP
HOGA1,SNP
HOMER2,SNP
HOXB1,SNP
HOXB13,SNP
HOXB2,SNP
HP,SNP
HP1BP3,SNP
HPCA,SNP
HPD,SNP
HPGDS,SNP
HPS1,SNP
HPS3,SNP
HPS4,SNP
HPS5,SNP
HPS6,SNP
HRAS,SNP
HRH1,SNP
HRH2,SNP
HRH3,SNP
HRH4,SNP
HRK,SNP
HS6ST1,SNP
HSD11B1,SNP
HSD11B2,SNP
HSD17B10,SNP
HSD17B12,SNP
HSD17B2,SNP
HSD17B3,SNP
HSD17B4,SNP
HSD3B1,SNP
HSD3B2,SNP
HSD3B7,SNP
HSFY,SNP
HSFY3P,SNP
HSPA12A,SNP
HSPA1A,SNP
HSPA1L,SNP
HSPG2,SNP
HTR1A,SNP
HTR1B,SNP
HTR1E,SNP
HTR2A,SNP
HTR2B,SNP
HTR2C,SNP
HTR3A,SNP
HTR3C,SNP
HTRA1,SNP
HTT,SNP
IBD5,SNP
IDH1,SNP
IDO1,SNP
IDO2,SNP
IDS,SNP
IFIH1,SNP
IFITM3,SNP
IFITM5,SNP
IFNA2,SNP
IFNL3,SNP
IFNL4,SNP
IGF1,SNP
IGF1R,SNP
IGF2BP1,SNP
IGF2BP2,SNP
IK,SNP
IKBKAP,SNP
IKBKB,SNP
IKZF1,SNP
IKZF3,SNP
IL10,SNP
IL12A,SNP
IL12A-AS1,SNP
IL12B,SNP
IL12RB2,SNP
IL13,SNP
IL15,SNP
IL15RA,SNP
IL16,SNP
IL17A,SNP
IL18,SNP
IL18R1,SNP
IL18RAP,SNP
IL19,SNP
IL1B,SNP
IL1F10,SNP
IL1RAPL1,SNP
IL1RL1,SNP
IL1RN,SNP
IL2,SNP
IL20,SNP
IL21,SNP
IL23R,SNP
IL27,SNP
IL2RA,SNP
IL2RB,SNP
IL31,SNP
IL4,SNP
IL6,SNP
IL6R,SNP
IL6ST,SNP
ILDR1,SNP
IMMP2L,SNP
IMPA1,SNP
IMPDH1,SNP
IMPDH2,SNP
INF2,SNP
INPPL1,SNP
INSL6,SNP
INSR,SNP
INVS,SNP
IRAK1,SNP
IRAK3,SNP
IRF1,SNP
IRF2,SNP
IRF5,SNP
IRF7,SNP
IRF8,SNP
IRS1,SNP
IRS2,SNP
ISG15,SNP
ITGA2B,SNP
ITGA9,SNP
ITGAL,SNP
ITGAV,SNP
ITGB3,SNP
ITIH3,SNP
ITPA,SNP
ITPKC,SNP
ITPR2,SNP
ITPR3,SNP
IVD,SNP
JAK1,SNP
JAK2,SNP
JAK3,SNP
JARID2,SNP
JUP,SNP
KALP,SNP
KARS,SNP
KAT6B,SNP
KATP,SNP
KCNA2,SNP
KCNA3,SNP
KCNA5,SNP
KCNB1,SNP
KCNC1,SNP
KCND3,SNP
KCNE1,SNP
KCNE3,SNP
KCNH1,SNP
KCNH2,SNP
KCNJ1,SNP
KCNJ10,SNP
KCNJ11,SNP
KCNJ16,SNP
KCNJ2,SNP
KCNJ5,SNP
KCNK2,SNP
KCNMA1,SNP
KCNN4,SNP
KCNQ1,SNP
KCNQ1-AS1,SNP
KCNQ2,SNP
KCNQ4,SNP
KCNT1,SNP
KCNU1,SNP
KCNV2,SNP
KCTD7,SNP
KDM5B,SNP
KDM5D,SNP
KDR,SNP
KEL,SNP
KIAA0319,SNP
KIAA1468,SNP
KIF1A,SNP
KIF1B,SNP
KIF22,SNP
KIF5A,SNP
KIF6,SNP
KIRREL3,SNP
KIT,SNP
KITLG,SNP
KL,SNP
KLC1,SNP
KLF6,SNP
KLK11,SNP
KLK3,SNP
KLKB1,SNP
KNG1,SNP
KPNA4,SNP
KRAS,SNP
KRIT1,SNP
KRT1,SNP
KRT13,SNP
KRT14,SNP
KRT5,SNP
KSNQ2,SNP
KSR2,SNP
KTN1,SNP
LACC1,SNP
LAMA2,SNP
LAMA3,SNP
LAMB1,SNP
LAMB2,SNP
LAMB3,SNP
LAMB4,SNP
LAMC1,SNP
LAMC2,SNP
LARS2,SNP
LASP1,SNP
LBP,SNP
LCE1D,SNP
LCT,SNP
LDB3,SNP
LDLR,SNP
LDLRAP1,SNP
LEP,SNP
LEPR,SNP
LHCGR,SNP
LHFP,SNP
LHFPL5,SNP
LIG4,SNP
LINC-PINT,SNP
LIPC,SNP
LIPT1,SNP
LLGL2,SNP
LMBRD1,SNP
LMNA,SNP
LMNB2,SNP
LOC100289168,SNP
LOC100289233,SNP
LOC100289398,SNP
LOC100289553,SNP
LOC100533723,SNP
LOC100652931,SNP
LOC101929679,SNP
LOC105376512,SNP
LOC105377223,SNP
LOC105377329,SNP
LOC107987344,SNP
LOC388210,SNP
LOC729065,SNP
LOXHD1,SNP
LOXL1,SNP
LPA,SNP
LPHN3,SNP
LPL,SNP
LPP,SNP
LRP1,SNP
LRP4,SNP
LRP5,SNP
LRPPRC,SNP
LRRC43,SNP
LRRK2,SNP
LRTOMT,SNP
LSAMP,SNP
LSP1,SNP
LTA,SNP
LTBP2,SNP
LUM,SNP
LYZL2,SNP
LZTFL1,SNP
LZTS1,SNP
MACC1,SNP
MACROD2,SNP
MAD1L1,SNP
MADCAM1,SNP
MAGEL2,SNP
MAGI2,SNP
MAGT1,SNP
MAK,SNP
MAOA,SNP
MAOB,SNP
MAP2K1,SNP
MAP2K2,SNP
MAP2K5,SNP
MAP3K1,SNP
MAPK1,SNP
MAPK10,SNP
MAPT,SNP
MARVELD2,SNP
MAT1A,SNP
MAX,SNP
MBL2,SNP
MC1R,SNP
MC2R,SNP
MC3R,SNP
MC4R,SNP
MCM6,SNP
MCM8,SNP
MCOLN1,SNP
MCT8,SNP
MDGA1,SNP
MDGA2,SNP
MDM2,SNP
MDM4,SNP
MECP2,SNP
MECR,SNP
MEF2C,SNP
MEFV,SNP
MEIS1,SNP
MEN1,SNP
MET,SNP
METTL23,SNP
MFN2,SNP
MFSD8,SNP
MGLL,SNP
MGMT,SNP
MGST1,SNP
MIB1,SNP
MICA,SNP
MIR1185-2,SNP
MIR4761,SNP
MIR662,SNP
MIR6766,SNP
MIR96,SNP
MITF,SNP
MKLN1,SNP
MLH1,SNP
MLH3,SNP
MLLT10,SNP
MMAA,SNP
MMAB,SNP
MMACHC,SNP
MMADHC,SNP
MME,SNP
MMEL1,SNP
MMP1,SNP
MMP11,SNP
MMP12,SNP
MMP13,SNP
MMP2,SNP
MMP3,SNP
MMP7,SNP
MMP9,SNP
MOCS1,SNP
MOCS2,SNP
MPL,SNP
MPO,SNP
MPP2,SNP
MPZ,SNP
MRAP2,SNP
MRE11A,SNP
MRPL3,SNP
MRS2,SNP
MSANTD1,SNP
MSH2,SNP
MSH3,SNP
MSH5,SNP
MSH6,SNP
MSLN,SNP
MSMB,SNP
MSRB3,SNP
MSTN,SNP
MT-ATP6,SNP
MT-ATP8,SNP
MT-CO1,SNP
MT-CO2,SNP
MT-CO3,SNP
MT-CYB,SNP
MT-ND1,SNP
MT-ND2,SNP
MT-ND3,SNP
MT-ND4,SNP
MT-ND4L,SNP
MT-ND5,SNP
MT-ND6,SNP
MT-RNR1,SNP
MT-RNR2,SNP
MT-TA,SNP
MT-TC,SNP
MT-TD,SNP
MT-TE,SNP
MT-TF,SNP
MT-TG,SNP
MT-TH,SNP
MT-TI,SNP
MT-TK,SNP
MT-TL1,SNP
MT-TL2,SNP
MT-TM,SNP
MT-TN,SNP
MT-TP,SNP
MT-TQ,SNP
MT-TR,SNP
MT-TS1,SNP
MT-TS2,SNP
MT-TT,SNP
MT-TV,SNP
MT-TW,SNP
MT-TY,SNP
MTHFD1,SNP
MTHFD1L,SNP
MTHFR,SNP
MTHFS,SNP
MTHFSD,SNP
MTMR2,SNP
MTNR1A,SNP
MTNR1B,SNP
MTOR,SNP
MTR,SNP
MTRR,SNP
MTTP,SNP
MUC1,SNP
MUC5AC,SNP
MUC5B,SNP
MUT,SNP
MUTYH,SNP
MVK,SNP
MXRA5P1,SNP
MYBPC3,SNP
MYC,SNP
MYCBP2,SNP
MYH11,SNP
MYH14,SNP
MYH15,SNP
MYH6,SNP
MYH7,SNP
MYH9,SNP
MYL2,SNP
MYL3,SNP
MYLK,SNP
MYLK2,SNP
MYO15A,SNP
MYO18B,SNP
MYO1A,SNP
MYO1E,SNP
MYO3A,SNP
MYO6,SNP
MYO7A,SNP
MYOC,SNP
MYOT,SNP
NAA10,SNP
NADSYN1,SNP
NAGPA,SNP
NALCN,SNP
NAT1,SNP
NAT2,SNP
NAT8,SNP
NBEAL2,SNP
NBN,SNP
NBPF3,SNP
NCAM1,SNP
NCAN,SNP
NCF4,SNP
NDP,SNP
NDRG1,SNP
NDST1,SNP
NDST2,SNP
NDST3,SNP
NDST4,SNP
NDUFS3,SNP
NECAP1,SNP
NEFL,SNP
NEIL2,SNP
NEU1,SNP
NF1,SNP
NF2,SNP
NFE2L2,SNP
NFIA,SNP
NFKB1,SNP
NFKBIA,SNP
NFKBIL1,SNP
NGF,SNP
NGLY1,SNP
NINJ2,SNP
NIPBL,SNP
NLGN4Y,SNP
NLRP1,SNP
NLRP12,SNP
NLRP3,SNP
NOD2,SNP
NOS1,SNP
NOS1AP,SNP
NOS2,SNP
NOS3,SNP
NOTCH1,SNP
NOX4,SNP
NPAS2,SNP
NPC1,SNP
NPC1L1,SNP
NPHS1,SNP
NPHS2,SNP
NPPA,SNP
NPPB,SNP
NPR3,SNP
NPTN,SNP
NPY,SNP
NQO1,SNP
NR0B1,SNP
NR1H3,SNP
NR1I2,SNP
NR1I3,SNP
NR2F2,SNP
NR3C1,SNP
NR3C2,SNP
NR4A2,SNP
NR4A3,SNP
NR5A1,SNP
NRG1,SNP
NRP1,SNP
NRXN1,SNP
NRXN3,SNP
NSD1,SNP
NSMCE3,SNP
NT5DC3,SNP
NTF3,SNP
NTF4,SNP
NTRK1,SNP
NTRK2,SNP
NUDT1,SNP
NUDT15,SNP
NUDT9,SNP
NUP153,SNP
NUTF2,SNP
OAS1,SNP
OBFC1,SNP
OBSCN,SNP
OCA2,SNP
OFD1P6Y,SNP
OGDHL,SNP
OGG1,SNP
OPMR1,SNP
OPN1LW,SNP
OPN1MW,SNP
OPN1SW,SNP
OPRD1,SNP
OPRM1,SNP
OPTN,SNP
OR10A2,SNP
OR6A2,SNP
OR7D4,SNP
OR7E24,SNP
